G2/M,tpx2,2021-11-01
G2/M,LOC100709346,2021-11-01
G2/M,g2e3,2021-11-01
G2/M,cbx5,2021-11-01
G2/M,ttk,2021-11-01
G2/M,smc4,2021-11-01
G2/M,nek2,2021-11-01
G2/M,cenpf,2021-11-01
G2/M,top2a,2021-11-01
G2/M,cdca8,2021-11-01
G2/M,nusap1,2021-11-01
G2/M,kif11,2021-11-01
G2/M,anp32e,2021-11-01
G2/M,lbr,2021-11-01
G2/M,LOC100692470,2021-11-01
G2/M,cdk1,2021-11-01
G2/M,cks1b,2021-11-01
G2/M,ckap5,2021-11-01
G2/M,ube2c,2021-11-01
G2/M,ndc80,2021-11-01
G2/M,nuf2,2021-11-01
G2/M,mki67,2021-11-01
G2/M,tacc3,2021-11-01
G2/M,bub1,2021-11-01
G2/M,anp32e,2021-11-01
G2/M,gtse1,2021-11-01
G2/M,kif20b,2021-11-01
G2/M,cdca3,2021-11-01
G2/M,cdc20,2021-11-01
G2/M,rangap1,2021-11-01
G2/M,ncapd2,2021-11-01
G2/M,dlgap5,2021-11-01
G2/M,cdca2,2021-11-01
G2/M,ect2,2021-11-01
G2/M,kif23,2021-11-01
G2/M,hmmr,2021-11-01
G2/M,anln,2021-11-01
G2/M,cenpe,2021-11-01
S,mcm6,2021-11-01
S,cdc45,2021-11-01
S,msh2,2021-11-01
S,mcm5,2021-11-01
S,pola1,2021-11-01
S,mcm4,2021-11-01
S,gmnn,2021-11-01
S,rpa2,2021-11-01
S,hells,2021-11-01
S,e2f8,2021-11-01
S,gins2,2021-11-01
S,pcna,2021-11-01
S,brip1,2021-11-01
S,dscc1,2021-11-01
S,dtl,2021-11-01
S,cdca7,2021-11-01
S,chaf1b,2021-11-01
S,usp1,2021-11-01
S,slbp,2021-11-01
S,fen1,2021-11-01
S,exo1,2021-11-01
S,tyms,2021-11-01
S,uhrf1,2021-11-01
S,pcna,2021-11-01
S,mcm7,2021-11-01
S,mcm4,2021-11-01
S,ung,2021-11-01
S,nuf2,2021-11-01
S,cdca7,2021-11-01
S,prim1,2021-11-01
S,uhrf1,2021-11-01
S,LOC102075647,2021-11-01
S,rfc2,2021-11-01
S,polr1b,2021-11-01
S,nasp,2021-11-01
S,rad51ap1,2021-11-01
S,wdr76,2021-11-01
S,slbp,2021-11-01
S,ubr7,2021-11-01
S,pold3,2021-11-01
S,msh2,2021-11-01
S,atad2,2021-11-01
S,rad51,2021-11-01
S,cdc6,2021-11-01
S,exo1,2021-11-01
S,tipin,2021-11-01
S,blm,2021-11-01
S,casp8ap2,2021-11-01
S,clspn,2021-11-01
